text,options,answer,hint,category,tags,difficulty,points,requiredCoins,createdAt,updatedAt
"ตามกฎหมายจราจรไทย เมื่อเห็นสัญญาณไฟ 'เหลืองอำพัน' ผู้ขับขี่ควรทำอย่างไร?","เร่งความเร็วเพื่อให้พ้นทางแยก|หยุดรถหลังเส้นหยุดหากทำได้อย่างปลอดภัย|เลี้ยวซ้ายได้ทันที|บีบแตรเตือนรถคันอื่น","หยุดรถหลังเส้นหยุดหากทำได้อย่างปลอดภัย","เตรียมหยุดรถไม่ใช่เร่งความเร็ว","ความรู้ทั่วไป","level-2|law",2,5,5,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"สัตว์ชนิดใดมีบทบาทเป็น 'ผู้ย่อยสลาย' (Decomposer) ที่สำคัญที่สุดในระบบนิเวศดิน?","มดแดง|ไส้เดือนดิน|แมงมุม|กิ้งกือ","ไส้เดือนดิน","ช่วยพรวนดินและย่อยเศษใบไม้","วิทยาศาสตร์","level-2|nature",2,5,5,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"ใครคือพระมหากษัตริย์ไทยผู้ทรงได้รับยกย่องเป็น 'พระบิดาแห่งมัคคุเทศก์ไทย'?","รัชกาลที่ 5|กรมพระยาดำรงราชานุภาพ|รัชกาลที่ 6|กรมหลวงราชบุรีดิเรกฤทธิ์","กรมพระยาดำรงราชานุภาพ","พระบิดาแห่งประวัติศาสตร์ไทยด้วย","ความรู้ทั่วไป","level-3|thai",3,10,10,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"ธาตุชนิดใดเป็นส่วนประกอบหลักของ 'แกรไฟต์' ในไส้ดินสอและ 'เพชร'?","เหล็ก|ทองคำ|คาร์บอน|ซิลิกอน","คาร์บอน","Carbon","วิทยาศาสตร์","level-3|chemistry",3,10,10,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"ปลามีอวัยวะใดที่ช่วยในการ 'รับรู้แรงสั่นสะเทือน' ของน้ำรอบตัว?","ครีบ|เหงือก|เส้นข้างลำตัว|เกล็ด","เส้นข้างลำตัว","Lateral line","สัตว์โลก","level-4|animal",4,15,15,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"จังหวัดใดในประเทศไทยมีภูมิศาสตร์เป็น 'แอ่งกระทะ' และมักมีอุณหภูมิสูงสุดในฤดูร้อน?","เชียงใหม่|ลำปาง|แพร่|น่าน","ลำปาง","เมืองรถม้า","ภูมิศาสตร์","level-3|thai",3,10,10,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"ใครคือผู้ประดิษฐ์ 'เครื่องช่วยฟัง' (Hearing Aid) แบบไฟฟ้าคนแรก?","เอดิสัน|มิลเลอร์ รีส ฮัทชิสัน|เกรแฮม เบลล์|เทสลา","มิลเลอร์ รีส ฮัทชิสัน","Miller Reese Hutchison (1898)","เทคโนโลยี","level-5|world",5,20,20,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"ส่วนประกอบใดของไข่ที่มีปริมาณ 'คอเลสเตอรอล' สูงที่สุด?","เปลือกไข่|ไข่ขาว|ไข่แดง|เยื่อหุ้มไข่","ไข่แดง","Egg Yolk","สุขภาพ","level-1|health",1,1,1,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"ประเทศใดเป็นแหล่งกำเนิดของอารยธรรม 'มายา' (Maya)?","อียิปต์|เม็กซิโก|อิรัก|อินเดีย","เม็กซิโก","ตั้งอยู่ในคาบสมุทรยูคาทาน","ประวัติศาสตร์","level-4|world",4,15,15,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"หน่วยวัดความบริสุทธิ์ของ 'ทองคำ' เรียกว่าอะไร?","กะรัต|กิโลกรัม|กรัม|ปอนด์","กะรัต","Karat (24K คือทองบริสุทธิ์)","ความรู้ทั่วไป","level-2|general",2,5,5,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"สัตว์น้ำชนิดใดที่ตัวผู้ทำหน้าที่ 'ฟักไข่' ในกระเป๋าหน้าท้อง?","ปลาทอง|ฉลาม|ม้าน้ำ|พะยูน","ม้าน้ำ","Sea Horse","สัตว์โลก","level-2|animal",2,5,5,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"สารอาหารประเภทใดให้พลังงานสูงที่สุดต่อปริมาณ 1 กรัม?","คาร์โบไฮเดรต|โปรตีน|ไขมัน|วิตามิน","ไขมัน","ให้พลังงาน 9 กิโลแคลอรี่","สุขภาพ","level-2|health",2,5,5,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"เมืองหลวงของประเทศสวิตเซอร์แลนด์คือเมืองใด?","ซูริค|เจนีวา|เบิร์น|โลซาน","เบิร์น","Bern","ภูมิศาสตร์","level-3|world",3,10,10,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"ใครคือจิตรกรผู้วาดภาพจิตรกรรมฝาผนัง 'The Creation of Adam'?","เลโอนาร์โด ดา วินชี|ไมเคิลแองเจโล|ราฟาเอล|โมเนต์","ไมเคิลแองเจโล","Michelangelo","ศิลปะ","level-4|world",4,15,15,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"ก๊าซชนิดใดถูกใช้บรรจุใน 'ถุงขนมกรุบกรอบ' เพื่อป้องกันความหืนและกันกระแทก?","ออกซิเจน|คาร์บอนไดออกไซด์|ไนโตรเจน|ไฮโดรเจน","ไนโตรเจน","Nitrogen (เป็นก๊าซเฉื่อยในอุณหภูมิปกติ)","ความรู้ทั่วไป","level-3|science",3,10,10,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"จังหวัดใดในประเทศไทยมีแหล่งประวัติศาสตร์ 'อุทยานประวัติศาสตร์ศรีสัชนาลัย'?","พิษณุโลก|สุโขทัย|กำแพงเพชร|นครสวรรค์","สุโขทัย","Sukhothai","ภูมิศาสตร์","level-2|thai",2,5,5,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"ธาตุชนิดใดมีสัญลักษณ์ทางเคมีว่า 'Sn'?","เงิน|ตะกั่ว|ดีบุก|สังกะสี","ดีบุก","Tin (Stannum)","วิทยาศาสตร์","level-3|chemistry",3,10,10,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"ใครคือผู้ประดิษฐ์ 'ลิฟต์' ที่มีเบรกนิรภัยคนแรกของโลก?","เอดิสัน|เอลิชา โอทิส|เกรแฮม เบลล์|เฮนรี ฟอร์ด","เอลิชา โอทิส","Elisha Otis","ความรู้ทั่วไป","level-4|world",4,15,15,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"อวัยวะใดของพืชทำหน้าที่ 'คายน้ำ' มากที่สุด?","ราก|ลำต้น|ใบ|ดอก","ใบ","คายน้ำผ่านปากใบ","พฤกษศาสตร์","level-2|nature",2,5,5,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"เครื่องดนตรี 'แซกโซโฟน' ถูกคิดค้นขึ้นในประเทศใด?","สหรัฐอเมริกา|ฝรั่งเศส|เบลเยียม|เยอรมนี","เบลเยียม","โดย Adolphe Sax ชาวเบลเยียม","ศิลปะ","level-4|world",4,15,15,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"จังหวัดใดของไทยที่มีความหนาแน่นของประชากร 'น้อยที่สุด'?","ตาก|ระนอง|แม่ฮ่องสอน|กาญจนบุรี","แม่ฮ่องสอน","Mae Hong Son มีพื้นที่ภูเขามาก","ภูมิศาสตร์","level-4|thai",4,15,15,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"ธาตุชนิดใดมีสัญลักษณ์ 'Ti'?","แทนทาลัม|ไทเทเนียม|ทองแดง|ดีบุก","ไทเทเนียม","Titanium","วิทยาศาสตร์","level-2|chemistry",2,5,5,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"ใครคือบิดาแห่ง 'อนามัยแม่และเด็ก' ของไทย?","รัชกาลที่ 5|สมเด็จพระมหิตลาธิเบศร อดุลยเดชวิกรม|หลวงประดิษฐไพเราะ|ป๋วย อึ๊งภากรณ์","สมเด็จพระมหิตลาธิเบศร อดุลยเดชวิกรม","พระบรมราชชนก","ความรู้ทั่วไป","level-4|thai",4,15,15,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"สัตว์ชนิดใดมี 'ฟัน' มากที่สุดในโลก?","ฉลาม|หอยทาก|จระเข้|วาฬ","หอยทาก","Snail มีฟันจิ๋วบนลิ้นเป็นหมื่นซี่","สัตว์โลก","level-5|animal",5,20,20,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
"ระบบเงินตรา 'ยูโร' (Euro) เริ่มนำมาใช้เป็นทางการครั้งแรกในปี ค.ศ. ใด?","1995|1999|2002|2005","1999","เป็นเงินทางบัญชีก่อนใช้จริงปี 2002","ความรู้ทั่วไป","level-4|world",4,15,15,2026-04-09T22:00:00.000Z,2026-04-09T22:00:00.000Z
