text,options,answer,hint,category,tags,difficulty,points,requiredCoins,createdAt,updatedAt
"อุปกรณ์ใดใช้สำหรับรับเสียงพูดเข้าสู่คอมพิวเตอร์?","ลำโพง|หน้าจอ|ไมโครโฟน|เมาส์","ไมโครโฟน","ใช้เวลาคุยสายหรืออัดเสียง","เทคโนโลยี","level-1|tech",1,1,1,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"สัตว์ชนิดใดพ่นน้ำออกจากหัวและอาศัยในทะเล?","ฉลาม|วาฬ|เต่า|กุ้ง","วาฬ","เป็นสัตว์เลี้ยงลูกด้วยนมขนาดใหญ่","ความรู้ทั่วไป","level-1|animal",1,1,1,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"เราใช้สิ่งใดในการส่องขยายวัตถุขนาดเล็กให้ดูใหญ่ขึ้น?","กระจกเงา|แว่นขยาย|แว่นสายตา|หน้าต่าง","แว่นขยาย","ใช้เลนส์นูนในการช่วยส่อง","ความรู้ทั่วไป","level-1|general",1,1,1,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"อาหารประจำชาติของอเมริกาที่เป็นขนมปังประกบเนื้อคืออะไร?","พิซซ่า|แฮมเบอร์เกอร์|ซูชิ|ส้มตำ","แฮมเบอร์เกอร์","เมนูฟาสต์ฟู้ดยอดนิยม","ความรู้ทั่วไป","level-1|food",1,1,1,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"สีไฟจราจรใดที่หมายถึงให้ 'ชะลอรถ' เพื่อเตรียมหยุด?","แดง|เขียว|เหลือง|ฟ้า","เหลือง","ไฟที่สว่างขึ้นก่อนไฟแดง","ความรู้ทั่วไป","level-1|general",1,1,1,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"ส่วนประกอบใดของพืชที่มีสีสันสวยงามเพื่อช่วยขยายพันธุ์?","ราก|ดอก|ใบ|ลำต้น","ดอก","ใช้ล่อแมลงมาผสมเกสร","วิทยาศาสตร์","level-1|nature",1,1,1,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"เราควรล้างมือด้วยสบู่นานประมาณกี่วินาทีเพื่อฆ่าเชื้อโรค?","5 วินาที|20 วินาที|60 วินาที|5 นาที","20 วินาที","ประมาณการร้องเพลงช้างหรือ Happy Birthday 2 รอบ","ความรู้ทั่วไป","level-1|health",1,1,1,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"พยัญชนะไทยตัวที่ 44 คืออะไร?","อ.อ่าง|ฬ.จุฬา|ห.หีบ|ฮ.นกฮูก","ฮ.นกฮูก","ตัวสุดท้ายของพยัญชนะไทย","ภาษาไทย","level-1|thai",1,1,1,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"สัตว์ชนิดใดมีกระเป๋าหน้าท้องและกระโดดเก่ง?","ลิง|จิงโจ้|กวาง|กระต่าย","จิงโจ้","สัตว์ประจำชาติออสเตรเลีย","ความรู้ทั่วไป","level-1|animal",1,1,1,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"100 / 2 = ?","25|50|75|80","50","ครึ่งหนึ่งของร้อย","คณิตคิดไว","level-1|math",1,1,1,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"ในคอมพิวเตอร์ GPU ย่อมาจาก Graphics ... Unit?","Power|Processing|Performance|Peripheral","Processing","หน่วยประมวลผลกราฟิก","เทคโนโลยี","level-2|tech",2,5,5,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"ใน JavaScript คำสั่ง 'Array.join()' ทำหน้าที่อะไร?","รวม Array เข้ากับ Array|แปลง Array เป็น String โดยเชื่อมด้วยตัวอักษรที่กำหนด|ลบข้อมูล|เรียงลำดับ","แปลง Array เป็น String โดยเชื่อมด้วยตัวอักษรที่กำหนด","Convert array to string","เทคโนโลยี","level-2|dev",2,5,5,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"ดาวเคราะห์ดวงใดที่ได้รับฉายาว่า 'ยักษ์ใหญ่แห่งระบบสุริยะ'?","ดาวเสาร์|ดาวพฤหัสบดี|ดาวยูเรนัส|เนปจูน","ดาวพฤหัสบดี","เพราะมีขนาดใหญ่ที่สุดในระบบ","วิทยาศาสตร์","level-2|astronomy",2,5,5,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"ใครคือผู้ค้นพบทวีปอเมริกา (Christopher Columbus) สัญชาติอะไร?","อังกฤษ|ฝรั่งเศส|อิตาลี|สเปน","อิตาลี","เดินทางภายใต้การสนับสนุนของกษัตริย์สเปน","ประวัติศาสตร์","level-2|world",2,5,5,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"จังหวัดใดขึ้นชื่อเรื่อง 'โมจิ' และบึงบอระเพ็ด?","ขอนแก่น|นครสวรรค์|อุทัยธานี|พิษณุโลก","นครสวรรค์","เมืองต้นแม่น้ำเจ้าพระยา","ภูมิศาสตร์","level-2|thai",2,5,5,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"ปุ่มลัด 'Ctrl + X' ใน Windows ใช้ทำอะไร?","คัดลอก|วาง|ตัด (Cut)|ลบ","ตัด (Cut)","Cut","เทคโนโลยี","level-2|tech",2,5,5,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"สัตว์ชนิดใดจัดเป็นสัตว์ครึ่งบกครึ่งน้ำ?","เต่า|จระเข้|กบ|ฉลาม","กบ","ผิวหนังเปียกชื้นและไม่มีเกล็ด","วิทยาศาสตร์","level-2|animal",2,5,5,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"สีแดง ผสมกับ สีขาว จะได้สีอะไร?","ส้ม|ม่วง|ชมพู|น้ำตาล","ชมพู","สีอ่อนของสีแดง","ความรู้ทั่วไป","level-2|art",2,5,5,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"ประเทศที่มีพื้นที่ใหญ่เป็นอันดับ 2 ของโลกคือ?","จีน|แคนาดา|สหรัฐอเมริกา|รัสเซีย","แคนาดา","Canada","ภูมิศาสตร์","level-2|world",2,5,5,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"12 x 12 = ?","124|144|164|184","144","สิบสองสิบสองเป็น...","คณิตคิดไว","level-2|math",2,5,5,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"ในเรื่อง Quantum Computing หน่วยข้อมูลที่เล็กที่สุดเรียกว่าอะไร?","Bit|Byte|Qubit|Quantum Bit","Qubit","สามารถมีสถานะ 0 และ 1 ได้พร้อมกัน","เทคโนโลยี","level-3|quantum",3,10,10,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"ใน Node.js 'REPL' ตัวย่อ R หมายถึงอะไร?","Run|Read|Real|Route","Read","Read-Eval-Print Loop","เทคโนโลยี","level-3|dev",3,10,10,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"ใครคือพระมหากษัตริย์ที่สถาปนากรุงธนบุรี?","ร.1|พระนเรศวร|สมเด็จพระเจ้าตากสิน|พระนารายณ์","สมเด็จพระเจ้าตากสิน","มหาราชผู้กอบกู้เอกราชครั้งที่ 2","ประวัติศาสตร์","level-3|thai",3,10,10,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"ธาตุชนิดใดมีสัญลักษณ์ทางเคมีว่า 'H'?","ฮีเลียม|ไฮโดรเจน|ปรอท|เงิน","ไฮโดรเจน","Hydrogen","วิทยาศาสตร์","level-3|chemistry",3,10,10,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"แม่น้ำที่ยาวที่สุดในเอเชียคือแม่น้ำสายใด?","แม่น้ำโขง|แม่น้ำแยงซี|แม่น้ำเหลือง|แม่น้ำคงคา","แม่น้ำแยงซี","Yangtze River ในประเทศจีน","ภูมิศาสตร์","level-3|world",3,10,10,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"อวัยวะใดทำหน้าที่เป็นศูนย์ควบคุมระบบประสาทส่วนกลาง?","หัวใจ|ไขสันหลัง|สมอง|ปอด","สมอง","Brain","วิทยาศาสตร์","level-3|health",3,10,10,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"ใครคือจิตรกรผู้เขียนภาพจิตรกรรมฝาผนัง 'The Creation of Adam'?","ดา วินชี|ไมเคิลแองเจโล|ราฟาเอล|โมเนต์","ไมเคิลแองเจโล","อยู่ที่เพดานโบสถ์ซิสทีน","ศิลปะ","level-3|world",3,10,10,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"ประเทศที่มีความหนาแน่นของประชากรมากที่สุดในโลก (รัฐอิสระ) คือ?","จีน|อินเดีย|โมนาโก|สิงคโปร์","โมนาโก","Monaco","ภูมิศาสตร์","level-3|world",3,10,10,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"วิตามินชนิดใดบำรุงประสาทและป้องกันอาการมือเท้าชา?","วิตามินเอ|วิตามินบี 1|วิตามินซี|วิตามินอี","วิตามินบี 1","Thiamine","วิทยาศาสตร์","level-3|health",3,10,10,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"ค่ามุมภายในรวมของรูปสี่เหลี่ยมคือเท่าใด?","180 องศา|270 องศา|360 องศา|450 องศา","360 องศา","เก้าสิบคูณสี่","คณิตศาสตร์","level-3|math",3,10,10,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"ในวิชา Software Architecture หลักการ DRY ย่อมาจากอะไร?","Do Right Yearly|Don't Repeat Yourself|Data Real Yield|Dynamic Resource York","Don't Repeat Yourself","เน้นการลดความซ้ำซ้อนของโค้ด","เทคโนโลยี","level-4|dev",4,15,15,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"หลักการ 'Interface Segregation' ใน SOLID เน้นเรื่องใด?","ซ่อนข้อมูล|ห้ามบังคับให้ Client ใช้ Method ที่ไม่ได้ใช้|การสืบทอดคลาส|ห้ามแก้โค้ดเดิม","ห้ามบังคับให้ Client ใช้ Method ที่ไม่ได้ใช้","ควรแยก Interface ออกเป็นส่วนเล็กๆ","เทคโนโลยี","level-4|dev",4,15,15,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"สงครามในประวัติศาสตร์ที่ทำลาย 'ห้องสมุดอเล็กซานเดรีย' จนพินาศคือ?","สงครามโลกครั้งที่ 1|สงครามร้อยปี|สงครามกลางเมืองโรมัน|สงครามครูเสด","สงครามกลางเมืองโรมัน","สูญเสียคลังความรู้ที่ใหญ่ที่สุดในโลกยุคโบราณ","ประวัติศาสตร์","level-4|world",4,15,15,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"ดาวเคราะห์ดวงใดที่มี 'จุดแดงใหญ่' (Great Red Spot) ซึ่งเป็นพายุหมุนขนาดมหึมา?","ดาวพุธ|ดาวอังคาร|ดาวพฤหัสบดี|ดาวเสาร์","ดาวพฤหัสบดี","พายุที่มีขนาดใหญ่กว่าโลก","วิทยาศาสตร์","level-4|astronomy",4,15,15,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"จังหวัดใดเป็นจังหวัดเดียวในภาคกลางที่ไม่มีพื้นที่ราบ (เป็นภูเขาเกือบทั้งหมด)?","สระบุรี|สุพรรณบุรี|อุทัยธานี|กาญจนบุรี","กาญจนบุรี","ทางภูมิศาสตร์จัดอยู่ในภาคตะวันตกแต่บางตำรานับรวมภาคกลาง","ภูมิศาสตร์","level-4|thai",4,15,15,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"ในการเข้ารหัสข้อมูลแบบสมมาตร (Symmetric Encryption) มีการใช้กุญแจกี่ดอก?","1 ดอก|2 ดอก|3 ดอก|ไม่มีกุญแจ","1 ดอก","ใช้กุญแจดอกเดียวกันทั้งเข้ารหัสและถอดรหัส","เทคโนโลยี","level-4|security",4,15,15,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"ใครคือผู้ค้นพบ 'นิวตรอน' ในนิวเคลียสของอะตอม?","รัทเทอร์ฟอร์ด|เจมส์ แชดวิก|นีลส์ โบร์|เจเจ ทอมสัน","เจมส์ แชดวิก","James Chadwick","วิทยาศาสตร์","level-4|physics",4,15,15,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"เหตุการณ์ 'วิกฤตเศรษฐกิจแฮมเบอร์เกอร์' เกิดขึ้นในปี ค.ศ. ใด?","1997|2004|2008|2012","2008","Subprime Crisis","ประวัติศาสตร์","level-4|world",4,15,15,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"ในวิชาซอฟต์แวร์ 'Design Pattern' แบบ Strategy คือกลุ่มใด?","Structural|Creational|Behavioral|Logical","Behavioral","ใช้สลับอัลกอริทึมในการทำงาน","เทคโนโลยี","level-4|dev",4,15,15,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"ใครคือผู้ประพันธ์ 'ลิลิตตะเลงพ่าย'?","สุนทรภู่|ร.2|กรมพระปรมานุชิตชิโนรส|ร.6","กรมพระปรมานุชิตชิโนรส","วรรณคดีเฉลิมพระเกียรติสมเด็จพระนเรศวร","วรรณคดี","level-4|thai",4,15,15,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"ปรากฏการณ์ 'Quantum Entanglement' (ความพัวพันเชิงควอนตัม) หมายถึงอะไร?","การระเบิดของดาว|อนุภาคสองตัวที่มีความสัมพันธ์กันไม่ว่าจะห่างกันแค่ไหน|การสะท้อนของแสง|ความร้อนสูง","อนุภาคสองตัวที่มีความสัมพันธ์กันไม่ว่าจะห่างกันแค่ไหน","ไอน์สไตน์เคยเรียกว่า Spooky action at a distance","เทคโนโลยี","level-5|quantum",5,20,20,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
"ใน Node.js 'Cluster' Module มีประโยชน์อย่างไร?","จัดการ Database|ช่วยให้แอปพลิเคชันทำงานแบบ Multi-process บนหลาย CPU cores|ทำความสะอาดไฟล์ขยะ|บีบอัดไฟล์","ช่วยให้แอปพลิเคชันทำงานแบบ Multi-process บนหลาย CPU cores|","ช่วยเพิ่ม Scalability ของระบบ","เทคโนโลยี","level-5|dev",5,20,20,2026-04-06T02:15:00.000Z,2026-04-06T02:15:00.000Z
