text,options,answer,hint,category,tags,difficulty,points,requiredCoins,createdAt,updatedAt
"อวัยวะใดในร่างกายมนุษย์ไม่มีเส้นประสาททำให้ไม่รู้สึกเจ็บเมื่อถูกตัด?","ผิวหนัง|เล็บ|ริมฝีปาก|เหงือก","เล็บ","เป็นเคราตินที่ตายแล้ว","ความรู้ทั่วไป","level-1|health",1,1,1,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"สัตว์ชนิดใดใช้ขาหน้าในการ 'ชิมรส' อาหาร?","มด|ผึ้ง|แมลงวัน|ผีเสื้อ","ผีเสื้อ","มีปุ่มรับรสอยู่ที่เท้า","ความรู้ทั่วไป","level-2|animal",2,5,5,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"ประเทศใดมีขนาดพื้นที่ใหญ่ที่สุดในทวีปแอฟริกา?","อียิปต์|แอลจีเรีย|ไนจีเรีย|แอฟริกาใต้","แอลจีเรีย","Algeria","ภูมิศาสตร์","level-3|world",3,10,10,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"ใครคือผู้ค้นพบทวีปแอนตาร์กติกา (ขั้วโลกใต้) เป็นคนแรกๆ?","กัปตันเจมส์ คุก|จอห์น เดวิส|โรอัลด์ อะมุนด์เซน|โรเบิร์ต สก็อตต์","โรอัลด์ อะมุนด์เซน","นักสำรวจชาวนอร์เวย์","ประวัติศาสตร์","level-4|world",4,15,15,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"ธาตุชนิดใดมีสัญลักษณ์ทางเคมีว่า 'W'?","ทังสเตน|ทองคำ|ฟอสฟอรัส|โพแทสเซียม","ทังสเตน","Wolfram","วิทยาศาสตร์","level-4|chemistry",4,15,15,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"จังหวัดใดในประเทศไทยมีประเพณี 'แห่ผีตาโขน'?","เลย|น่าน|แพร่|พะเยา","เลย","อำเภอด่านซ้าย","ความรู้ทั่วไป","level-2|culture",2,5,5,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"ใครคือผู้ประพันธ์บทเพลงพระราชนิพนธ์ 'ความฝันอันสูงสุด'?","รัชกาลที่ 6|รัชกาลที่ 7|รัชกาลที่ 9|รัชกาลที่ 10","รัชกาลที่ 9","The Impossible Dream","ดนตรี","level-3|thai",3,10,10,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"สัตว์บกชนิดใดมีขนาดสมองใหญ่ที่สุด?","เสือโคร่ง|ยีราฟ|ช้าง|ฮิปโป","ช้าง","Elephant","ความรู้ทั่วไป","level-2|animal",2,5,5,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"เส้นสมมติที่ลากผ่านกึ่งกลางโลกแบ่งซีกโลกเหนือและใต้เรียกว่า?","เส้นเมริเดียน|เส้นศูนย์สูตร|เส้นขนาน|เส้นละติจูด","เส้นศูนย์สูตร","Equator","ภูมิศาสตร์","level-2|world",2,5,5,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"ใครคือบิดาแห่งการ์ตูนวอลต์ ดิสนีย์?","มิกกี้ เมาส์|วอลต์ ดิสนีย์|สแตน ลี|สตีเฟน สปีลเบิร์ก","วอลต์ ดิสนีย์","Walt Disney","ความรู้ทั่วไป","level-1|business",1,1,1,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"สารที่ให้ความหวานในหญ้าหวาน (Stevia) เรียกว่าอะไร?","ซูโครส|สเตวิโอไซด์|ฟรุกโตส|กลูโคส","สเตวิโอไซด์","Stevioside","วิทยาศาสตร์","level-4|health",4,15,15,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"คลองคอคอดกระ (โครงการคลองไทย) เชื่อมระหว่างทะเลใด?","อันดามัน-อ่าวไทย|จีนใต้-ญี่ปุ่น|แดง-ดำ|เมดิเตอร์เรเนียน-แดง","อันดามัน-อ่าวไทย","ทางลัดภาคใต้ของไทย","ภูมิศาสตร์","level-3|thai",3,10,10,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"วิตามินชนิดใดมีชื่อเรียกอีกชื่อว่า 'กรดแอสคอร์บิก'?","วิตามินเอ|วิตามินบี|วิตามินซี|วิตามินอี","วิตามินซี","Ascorbic Acid","วิทยาศาสตร์","level-3|health",3,10,10,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"ใครคือกษัตริย์ที่ทรงสร้างปราสาทนครวัดในกัมพูชา?","ชัยวรมันที่ 7|สุริยวรมันที่ 2|ยโสวรมันที่ 1|สุริยวรมันที่ 1","สุริยวรมันที่ 2","Suryavarman II","ประวัติศาสตร์","level-5|world",5,20,20,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"ในร่างกายมนุษย์ เลือดมีสีแดงเพราะมีสารใดเป็นองค์ประกอบ?","เมตาโลนิน|ฮีโมโกลบิน|คลอโรฟิลล์|อินซูลิน","ฮีโมโกลบิน","Hemoglobin","วิทยาศาสตร์","level-2|health",2,5,5,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"เมืองหลวงของประเทศบราซิลคือเมืองใด?","ริโอ เดอ จาเนโร|เซาเปาโล|บราซิเลีย|อาร์เจนตินา","บราซิเลีย","Brasilia","ภูมิศาสตร์","level-3|world",3,10,10,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"กีฬาใดที่ใช้คำว่า 'เบอร์ดี้' (Birdie) และ 'อีเกิล' (Eagle)?","เทนนิส|แบดมินตัน|กอล์ฟ|ปิงปอง","กอล์ฟ","Golf","ความรู้ทั่วไป","level-2|sport",2,5,5,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"ใครคือมหาราชผู้ทรงขยายอาณาจักรไทยได้กว้างขวางที่สุดในสมัยอยุธยา?","สมเด็จพระนเรศวรมหาราช|สมเด็จพระนารายณ์มหาราช|สมเด็จพระเจ้าตากสินมหาราช|สมเด็จพระบรมไตรโลกนาถ","สมเด็จพระนเรศวรมหาราช","กษัตริย์นักรบ","ประวัติศาสตร์","level-3|thai",3,10,10,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"ธาตุชนิดใดมีน้ำหนักเบาที่สุดในโลก?","ฮีเลียม|ไฮโดรเจน|ลิเธียม|นีออน","ไฮโดรเจน","Hydrogen","วิทยาศาสตร์","level-3|chemistry",3,10,10,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"ประเทศใดเป็นเจ้าของดินแดนหมู่เกาะกาลาปาโกส?","ชิลี|เปรู|เอกวาดอร์|บราซิล","เอกวาดอร์","Ecuador","ภูมิศาสตร์","level-4|world",4,15,15,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"ชื่อเดิมของจังหวัดนครราชสีมาคืออะไร?","ศรีจนาศะ|โคราฆะปุระ|ละโว้|พิมาย","โคราฆะปุระ","ที่มาของชื่อ โคราช","ประวัติศาสตร์","level-4|thai",4,15,15,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"ใครคือผู้ประดิษฐ์วิทยุเป็นคนแรกของโลก?","เอดิสัน|เทสลา|มาร์โคนี|เกรแฮม เบลล์","มาร์โคนี","Guglielmo Marconi","ประวัติศาสตร์","level-3|world",3,10,10,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"อวัยวะส่วนใดของปลาทำหน้าที่ทรงตัวและว่ายน้ำ?","เหงือก|เกล็ด|ครีบ|ตา","ครีบ","Fins","ความรู้ทั่วไป","level-1|animal",1,1,1,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"จังหวัดใดในไทยที่มีจำนวนอำเภอน้อยที่สุด?","สมุทรสงคราม|ภูเก็ต|นนทบุรี|สิงห์บุรี","สมุทรสงคราม","มีเพียง 3 อำเภอ","ความรู้ทั่วไป","level-3|thai",3,10,10,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"สัญลักษณ์ '007' คือรหัสประจำตัวของตัวละครใด?","เชอร์ล็อก โฮมส์|เจมส์ บอนด์|อีธาน ฮันต์|เจสัน บอร์น","เจมส์ บอนด์","James Bond","ความรู้ทั่วไป","level-1|movie",1,1,1,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"ก๊าซชนิดใดที่ใช้ในถังดับเพลิงเพื่อขับไล่ออกซิเจน?","ไนโตรเจน|ไฮโดรเจน|คาร์บอนไดออกไซด์|ฮีเลียม","คาร์บอนไดออกไซด์","CO2","วิทยาศาสตร์","level-3|science",3,10,10,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"เทือกเขาที่แบ่งแยกพรมแดนไทยและพม่าทางทิศตะวันตกคือ?","เทือกเขาเพชรบูรณ์|เทือกเขาตะนาวศรี|เทือกเขาพนมดงรัก|เทือกเขาสันกาลาคีรี","เทือกเขาตะนาวศรี","Tanaosi Range","ภูมิศาสตร์","level-3|thai",3,10,10,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"ใครคือบิดาแห่งระเบิดปรมาณู?","อัลเบิร์ต ไอน์สไตน์|โรเบิร์ต ออปเพนไฮเมอร์|นิโคลา เทสลา|แมกซ์ พลังค์","โรเบิร์ต ออปเพนไฮเมอร์","J. Robert Oppenheimer","ประวัติศาสตร์","level-4|world",4,15,15,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"มหาสมุทรที่ขนาดเล็กที่สุดในโลกคือ?","มหาสมุทรอินเดีย|มหาสมุทรอาร์กติก|มหาสมุทรแอตแลนติก|มหาสมุทรใต้","มหาสมุทรอาร์กติก","Arctic Ocean","ภูมิศาสตร์","level-3|world",3,10,10,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"ใครคือผู้ประพันธ์มหากาพย์ 'รามายณะ' (รามเกียรติ์)?","สุนทรภู่|ฤาษีวาลมีกิ|ฤาษีวยาส|กาลิทาส","ฤาษีวาลมีกิ","Valmiki","วรรณคดี","level-4|world",4,15,15,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"ประเทศใดมีประชากรหนาแน่นที่สุดในโลก (สถิติประเทศขนาดเล็ก)?","โมนาโก|สิงคโปร์|มัลดีฟส์|มอลตา","โมนาโก","Monaco","ภูมิศาสตร์","level-5|world",5,20,20,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"ปรากฏการณ์แสงเหนือแสงใต้เรียกว่าอะไรในทางวิทยาศาสตร์?","มิราจ|ออโรรา|ฮาโล|รุ้ง","ออโรรา","Aurora","วิทยาศาสตร์","level-3|science",3,10,10,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"จังหวัดใดในประเทศไทยที่มีพระพุทธรูปปางลีลาที่ใหญ่ที่สุด (พุทธมณฑล)?","กรุงเทพฯ|นครปฐม|สมุทรสาคร|นนทบุรี","นครปฐม","อำเภอพุทธมณฑล","ความรู้ทั่วไป","level-2|thai",2,5,5,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"สารเคมีชนิดใดที่ใช้เติมในน้ำประปาเพื่อฆ่าเชื้อโรค?","ฟลูออไรด์|คลอรีน|ไอโอดีน|กำมะถัน","คลอรีน","Chlorine","วิทยาศาสตร์","level-2|science",2,5,5,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"ใครคือผู้ได้รับรางวัลโนเบลสาขาฟิสิกส์จากการค้นพบ 'โฟตอน' และผลกระทบโฟโตอิเล็กทริก?","นิวตัน|ไอน์สไตน์|โบร์|เทสลา","ไอน์สไตน์","Albert Einstein","วิทยาศาสตร์","level-5|world",5,20,20,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"หน่วยงานใดทำหน้าที่ตรวจสอบมาตรฐานอาหารและยาในประเทศไทย?","มอก.|อย.|สคบ.|กสทช.","อย.","FDA Thailand","ความรู้ทั่วไป","level-1|thai",1,1,1,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"สัตว์ชนิดใดใช้ 'หู' ในการระบายความร้อนออกจากร่างกาย?","สิงโต|ยีราฟ|ช้าง|อูฐ","ช้าง","ใบหูขนาดใหญ่ช่วยระบายความร้อน","ความรู้ทั่วไป","level-2|animal",2,5,5,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"จังหวัดใดเป็นที่ตั้งของอุทยานประวัติศาสตร์พนมรุ้ง?","นครราชสีมา|ศรีสะเกษ|บุรีรัมย์|สุรินทร์","บุรีรัมย์","Buriram","ภูมิศาสตร์","level-3|thai",3,10,10,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"ใครคือพระมหากษัตริย์ที่ทรงริเริ่มการใช้ 'นามสกุล' ในไทย?","รัชกาลที่ 4|รัชกาลที่ 5|รัชกาลที่ 6|รัชกาลที่ 7","รัชกาลที่ 6","พระบาทสมเด็จพระมงกุฎเกล้าเจ้าอยู่หัว","ประวัติศาสตร์","level-4|thai",4,15,15,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"ประเทศที่มีอาณาเขตติดต่อกับประเทศไทยทางทิศใต้คือ?","พม่า|ลาว|กัมพูชา|มาเลเซีย","มาเลเซีย","Malaysia","ภูมิศาสตร์","level-1|thai",1,1,1,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"กีฬาใดที่มีผู้เล่นตำแหน่ง 'ลิเบอโร' (Libero)?","ฟุตบอล|บาสเกตบอล|วอลเลย์บอล|แฮนด์บอล","วอลเลย์บอล","ตัวรับอิสระ","กีฬา","level-3|sport",3,10,10,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"ใครคือบิดาแห่งดนตรีคลาสสิกผู้แต่ง 'The Four Seasons'?","โมซาร์ต|บีโทเฟน|วิวัลดี|บาธ","วิวัลดี","Antonio Vivaldi","ดนตรี","level-4|world",4,15,15,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"หน่วยเงินตรา 'รูเบิล' เป็นของประเทศใด?","เยอรมนี|รัสเซีย|ฝรั่งเศส|อิตาลี","รัสเซีย","Ruble","ความรู้ทั่วไป","level-2|finance",2,5,5,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"สัตว์ชนิดใดเป็นสัตว์ประจำชาติของประเทศญี่ปุ่น?","ไก่ป่า|นกกระเรียน|ไก่ฟ้าสีเขียว|นกอินทรี","ไก่ฟ้าสีเขียว","Green Pheasant (Kiji)","ความรู้ทั่วไป","level-4|world",4,15,15,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"ใครคือผู้แต่งวรรณคดีเรื่อง 'ขุนช้างขุนแผน'?","สุนทรภู่|รัชกาลที่ 2|กวีร่วมสมัยหลายท่าน|รัชกาลที่ 6","กวีร่วมสมัยหลายท่าน","แต่งต่อกันมาหลายคน","วรรณคดี","level-4|thai",4,15,15,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"แม่น้ำที่ยาวที่สุดในสหรัฐอเมริกาคือ?","มิสซิสซิปปี|มิสซูรี|โคโลราโด|ฮัดสัน","มิสซูรี","Missouri River","ภูมิศาสตร์","level-4|world",4,15,15,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"ก๊าซที่มีมากที่สุดในจักรวาลคือ?","ไฮโดรเจน|ฮีเลียม|ออกซิเจน|ไนโตรเจน","ไฮโดรเจน","Hydrogen","วิทยาศาสตร์","level-5|astronomy",5,20,20,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"ใครคือบิดาแห่งกฎหมายไทย?","รัชกาลที่ 5|รัชกาลที่ 6|กรมหลวงราชบุรีดิเรกฤทธิ์|กรมพระยาดำรงราชานุภาพ","กรมหลวงราชบุรีดิเรกฤทธิ์","พระเจ้าบรมวงศ์เธอ กรมหลวงราชบุรีดิเรกฤทธิ์","ประวัติศาสตร์","level-4|thai",4,15,15,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"ปราสาทหินที่ใหญ่ที่สุดในประเทศไทยคือ?","ปราสาทพนมรุ้ง|ปราสาทหินพิมาย|ปราสาทเมืองต่ำ|ปราสาทตาเมือนธม","ปราสาทหินพิมาย","จังหวัดนครราชสีมา","ความรู้ทั่วไป","level-3|thai",3,10,10,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
"สตรีคนแรกของเอเชียที่ได้รับรางวัลโนเบลสาขาสันติภาพคือใคร?","อองซานซูจี|อินทิรา คานธี|มาลาลา ยูซัฟไซ|คอราซอน อากีโน","อองซานซูจี","Aung San Suu Kyi","ประวัติศาสตร์","level-5|world",5,20,20,2026-04-09T22:40:00.000Z,2026-04-09T22:40:00.000Z
