text,options,answer,hint,category,tags,difficulty,points,requiredCoins,createdAt,updatedAt
"กระดูกชิ้นเล็กที่สุดในร่างกายมนุษย์ตั้งอยู่ที่อวัยวะใด?","นิ้วก้อย|จมูก|หูชั้นกลาง|ข้อเท้า","หูชั้นกลาง","กระดูกโกลน (Stapes)","ความรู้ทั่วไป","level-3|health",3,10,10,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"ประเทศใดในโลกที่มีรูปร่างลักษณะคล้าย 'รองเท้าบูท'?","สเปน|กรีซ|อิตาลี|ชิลี","อิตาลี","Italy","ภูมิศาสตร์","level-1|world",1,1,1,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"ใครคือคนไทยคนแรกที่ได้รับรางวัลแมกไซไซ (Magsaysay Award)?","นิลวรรณ ปิ่นทอง|ป๋วย อึ๊งภากรณ์|ประเวศ วะสี|วิวัฒน์ชัย ไชยพานิช","นิลวรรณ ปิ่นทอง","ได้รับสาขาบริการสาธารณะในปี 2504","ความรู้ทั่วไป","level-4|thai",4,15,15,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"ดาวเคราะห์ดวงใดในระบบสุริยะที่มี 'พายุรูปหกเหลี่ยม' ที่ขั้วเหนือ?","พฤหัสบดี|เสาร์|ยูเรเนัส|เนปจูน","ดาวเสาร์","Saturn's Hexagon","วิทยาศาสตร์","level-4|astronomy",4,15,15,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"ปลาชนิดใดที่มีพฤติกรรมว่ายน้ำในแนวตั้งและตัวผู้เป็นผู้ฟักไข่?","ปลาปักเป้า|ม้าน้ำ|ปลาเข็ม|ปลาตีน","ม้าน้ำ","Sea Horse","ความรู้ทั่วไป","level-2|animal",2,5,5,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"ส่วนประกอบใดของเลือดทำหน้าที่ต่อสู้กับเชื้อโรค?","เม็ดเลือดแดง|เม็ดเลือดขาว|เกล็ดเลือด|พลาสมา","เม็ดเลือดขาว","White blood cells","วิทยาศาสตร์","level-2|health",2,5,5,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"คลอง 'โครินธ์' (Corinth Canal) ตั้งอยู่ในประเทศใด?","ตุรกี|อิตาลี|กรีซ|อียิปต์","กรีซ","Greece","ภูมิศาสตร์","level-4|world",4,15,15,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"ใครคือมหาราชองค์แรกที่รวมชาติจีนให้เป็นปึกแผ่น?","ฮั่นอู่ตี้|ถังไท่จง|จิ๋นซีฮ่องเต้|เฉียนหลง","จิ๋นซีฮ่องเต้","Qin Shi Huang","ประวัติศาสตร์","level-3|world",3,10,10,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"ธาตุชนิดใดมีสัญลักษณ์ในตารางธาตุว่า 'P'?","โพแทสเซียม|ฟอสฟอรัส|แพลตตินัม|พลูโตเนียม","ฟอสฟอรัส","Phosphorus","วิทยาศาสตร์","level-3|chemistry",3,10,10,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"สำนวนไทย 'เข็นครกขึ้นภูเขา' หมายถึงอะไร?","ทำงานที่ยากลำบากเกินตัว|ทำงานที่ไม่มีประโยชน์|ทำงานด้วยความเร็ว|ทำงานร่วมกับผู้อื่น","ทำงานที่ยากลำบากเกินตัว","ต้องใช้ความพยายามอย่างมาก","ภาษาไทย","level-2|thai",2,5,5,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"ใครคือผู้ประดิษฐ์บันไดเลื่อนคนแรกของโลก?","เอดิสัน|เจสซี่ เรโนลด์|เกรแฮม เบลล์|เฮนรี่ ฟอร์ด","เจสซี่ เรโนลด์","Jesse Reno ในปี 1892","ความรู้ทั่วไป","level-4|world",4,15,15,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"จังหวัดใดในไทยที่มีชื่อเสียงเรื่องประเพณี 'อุ้มพระดำน้ำ'?","พิษณุโลก|พะเยา|เพชรบูรณ์|พิจิตร","เพชรบูรณ์","ประเพณีหนึ่งเดียวในโลกที่จ.เพชรบูรณ์","ความรู้ทั่วไป","level-3|thai",3,10,10,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"สัตว์ชนิดใดใช้ 'ผิวหนัง' ในการหายใจมากที่สุด?","กิ้งก่า|ไส้เดือน|แมงมุม|เต่า","ไส้เดือน","Earthworm","วิทยาศาสตร์","level-3|animal",3,10,10,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"แม่น้ำที่กั้นระหว่างประเทศไทยและกัมพูชาบางช่วงคือแม่น้ำสายใด?","โขง|สาละวิน|ลพบุรี|สะโตง (ไม่ถูกต้อง)|ป่าสัก (ไม่ถูกต้อง)|สายบุรี","โขง","จริงๆ คือแม่น้ำโขงในบางส่วนและพรมแดนบก","ภูมิศาสตร์","level-3|thai",3,10,10,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"หน่วยวัดความดังของเสียงเรียกว่าอะไร?","เฮิรตซ์|เดซิเบล|ริกเตอร์|แอมแปร์","เดซิเบล","Decibel","ความรู้ทั่วไป","level-2|science",2,5,5,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"ใครคือผู้ประพันธ์บทเพลงพระราชนิพนธ์ 'ชะตาชีวิต'?","รัชกาลที่ 6|รัชกาลที่ 7|รัชกาลที่ 9|รัชกาลที่ 10","รัชกาลที่ 9","H.M. Blues","ดนตรี","level-3|thai",3,10,10,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"ประเทศใดมีพื้นที่ราบต่ำและอยู่ต่ำกว่าระดับน้ำทะเลในหลายพื้นที่?","เบลเยียม|เยอรมนี|เนเธอร์แลนด์|เดนมาร์ก","เนเธอร์แลนด์","Netherlands แปลว่า แผ่นดินต่ำ","ภูมิศาสตร์","level-3|world",3,10,10,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"อวัยวะใดในร่างกายมนุษย์ที่มีขนาดเท่ากับกำปั้นของเจ้าของ?","ปอด|ตับ|หัวใจ|กระเพาะอาหาร","หัวใจ","Heart","ความรู้ทั่วไป","level-1|health",1,1,1,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"ใครคือคนแรกที่เสนอทฤษฎี 'การไหลเวียนโลหิต' อย่างถูกต้อง?","ฮิปโปเครตีส|กาเลน|วิลเลียม ฮาร์วีย์|หลุยส์ ปาสเตอร์","วิลเลียม ฮาร์วีย์","William Harvey","วิทยาศาสตร์","level-5|health",5,20,20,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"ชื่อดาวเทียมดวงแรกของไทยคืออะไร?","ไทยโชต|ไทยคม 1|ชินวัตร 1|ดาวเทียม 1","ไทยคม 1","Thaicom 1","เทคโนโลยี","level-3|thai",3,10,10,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
"สารอาหารประเภทใดให้พลังงาน 4 กิโลแคลอรี่เท่ากัน?","คาร์โบไฮเดรตและไขมัน|โปรตีนและไขมัน|คาร์โบไฮเดรตและโปรตีน|วิตามินและแร่ธาตุ","คาร์โบไฮเดรตและโปรตีน","ไขมันให้ 9","ความรู้ทั่วไป","level-3|health",3,10,10,2026-04-09T23:20:00.000Z,2026-04-09T23:20:00.000Z
