text,options,answer,hint,category,tags,difficulty,points,requiredCoins,createdAt,updatedAt
"สัตว์ดึกดำบรรพ์ชนิดใดที่มีขนาดใหญ่ที่สุดที่เคยเดินบนพื้นโลก?","ทีเร็กซ์|แมมมอธ|อาร์เจนติโนซอรัส|ไตรเซอราทอปส์","อาร์เจนติโนซอรัส","Argentinosaurus","สัตว์โลก","level-5|nature",5,20,20,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"ใครคือบิดาแห่งคอมพิวเตอร์กราฟิกของโลก?","สตีฟ จอบส์|ไอแวน ซูเธอร์แลนด์|บิล เกตส์|มาร์ก ซักเคอร์เบิร์ก","ไอแวน ซูเธอร์แลนด์","Ivan Sutherland ผู้สร้าง Sketchpad","เทคโนโลยี","level-5|tech",5,20,20,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"จังหวัดใดในประเทศไทยที่มีชื่อสั้นที่สุด?","ตาก|แพร่|น่าน|เลย","เลย","Loei","ภูมิศาสตร์","level-1|thai",1,1,1,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"ดาวเคราะห์ดวงใดในระบบสุริยะมีขนาดเล็กที่สุด?","พุธ|อังคาร|ศุกร์|เนปจูน","ดาวพุธ","Mercury","ดาราศาสตร์","level-2|astronomy",2,5,5,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"สารใดในร่างกายที่ทำหน้าที่นำออกซิเจนไปสู่เซลล์ต่างๆ?","เม็ดเลือดขาว|เกล็ดเลือด|ฮีโมโกลบิน|พลาสมา","ฮีโมโกลบิน","Hemoglobin ในเม็ดเลือดแดง","สุขภาพ","level-2|health",2,5,5,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"ใครคือผู้ประดิษฐ์ปากกาลูกลื่นคนแรก?","เอดิสัน|ลาสโล บีโร|นิวตัน|เบลล์","ลาสโล บีโร","Laszlo Biro","ความรู้ทั่วไป","level-4|world",4,15,15,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"สัตว์ชนิดใดมีฟันมากที่สุดในโลก (นับหมื่นซี่)?","ฉลาม|หอยทาก|จระเข้|วาฬ","หอยทาก","Snail มีฟันจิ๋วบนลิ้น","สัตว์โลก","level-5|animal",5,20,20,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"ประเทศที่มีเขตเวลามากที่สุดในโลกคือ?","รัสเซีย|จีน|สหรัฐฯ|ฝรั่งเศส","ฝรั่งเศส","France (รวมดินแดนโพ้นทะเล)","ภูมิศาสตร์","level-5|world",5,20,20,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"วิกฤตต้มยำกุ้งเริ่มปี พ.ศ. ใด?","2535|2540|2545|2550","2540","1997","ประวัติศาสตร์","level-3|thai",3,10,10,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"ก๊าซที่มีมากที่สุดในจักรวาล?","ออกซิเจน|ไฮโดรเจน|ไนโตรเจน|ฮีเลียม","ไฮโดรเจน","Hydrogen","วิทยาศาสตร์","level-5|astronomy",5,20,20,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"ใครวาดภาพ 'Mona Lisa'?","ปิกัสโซ|แวนโก๊ะ|ดา วินชี|ราฟาเอล","เลโอนาร์โด ดา วินชี","Leonardo","ศิลปะ","level-3|world",3,10,10,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"หน่วยเงินญี่ปุ่นคือ?","วอน|หยวน|เยน|ริงกิต","เยน","Yen","ความรู้ทั่วไป","level-1|finance",1,1,1,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"ธาตุสัญลักษณ์ 'Ag' คือ?","ทอง|เงิน|เหล็ก|สังกะสี","เงิน","Argentum","วิทยาศาสตร์","level-2|chemistry",2,5,5,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"จังหวัดใต้สุดของไทย?","นราธิวาส|สงขลา|ยะลา|สตูล","ยะลา","อำเภอเบตง","ภูมิศาสตร์","level-2|thai",2,5,5,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"ยอดเขาสูงที่สุดในไทย?","ดอยตุง|ภูกระดึง|ดอยอินทนนท์|ภูสอยดาว","ดอยอินทนนท์","เชียงใหม่","ภูมิศาสตร์","level-1|thai",1,1,1,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
"ใครประดิษฐ์หลอดไฟคนแรก?","เอดิสัน|นิวตัน|เทสลา|ฟาราเดย์","โทมัส เอดิสัน","Edison","ความรู้ทั่วไป","level-2|world",2,5,5,2026-04-09T23:45:00.000Z,2026-04-09T23:45:00.000Z
