text,options,answer,hint,category,tags,difficulty,points,requiredCoins,createdAt,updatedAt
"คอมพิวเตอร์ขนาดเล็กที่พกพาไปไหนมาไหนได้ง่ายเรียกว่าอะไร?","แท็บเล็ต|ตู้เย็น|โทรทัศน์|วิทยุ","แท็บเล็ต","หน้าจอสัมผัสขนาดใหญ่กว่ามือถือ","ความรู้ทั่วไป","level-1|tech",1,1,1,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"สัตว์ชนิดใดมีกระดองแข็งหุ้มตัวและเดินช้า?","กระต่าย|เต่า|สิงโต|นก","เต่า","นิทานเรื่องกระต่ายกับ...","ความรู้ทั่วไป","level-1|animal",1,1,1,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"เราใช้สิ่งใดในการตัดผม?","ช้อน|กรรไกร|ดินสอ|แปรงสีฟัน","กรรไกร","ของมีคมที่ใช้ในร้านทำผม","ความรู้ทั่วไป","level-1|general",1,1,1,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"ผลไม้ชนิดใดมีเนื้อสีเหลืองและมีเมล็ดขนาดใหญ่เพียงเมล็ดเดียว?","ส้ม|มะม่วง|แตงโม|องุ่น","มะม่วง","นิยมทานคู่กับข้าวเหนียวมูน","ความรู้ทั่วไป","level-1|food",1,1,1,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"สิ่งใดที่ให้แสงสว่างในตอนกลางคืนตามท้องถนน?","ก๊อกน้ำ|เสาไฟ|เก้าอี้|ถังขยะ","เสาไฟ","ช่วยให้มองเห็นทางตอนขับรถ","ความรู้ทั่วไป","level-1|general",1,1,1,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"ส่วนใดของต้นไม้ที่อยู่ใต้ดิน?","ใบ|ดอก|ราก|กิ่ง","ราก","ทำหน้าที่ดูดซึมน้ำและสารอาหาร","วิทยาศาสตร์","level-1|nature",1,1,1,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"เราใช้สิ่งใดในการรดน้ำต้นไม้?","จาน|บัวรดน้ำ|หนังสือ|หมอน","บัวรดน้ำ","อุปกรณ์ที่มีรูพรุนให้น้ำไหลออกมาเป็นฝอย","ความรู้ทั่วไป","level-1|general",1,1,1,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"พยัญชนะไทยตัวแรกคือ ก.ไก่ แล้วตัวที่สองคืออะไร?","ข.ไข่|ค.ควาย|ง.งู|จ.จาน","ข.ไข่","กอ เอ๋ย กอ ไก่ ขอ...","ภาษาไทย","level-1|thai",1,1,1,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"สัตว์ชนิดใดส่งเสียงร้อง 'เมี๊ยว เมี๊ยว'?","สุนัข|แมว|หมู|เป็ด","แมว","สัตว์เลี้ยงที่ชอบจับหนู","ความรู้ทั่วไป","level-1|animal",1,1,1,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
"12 - 4 = ?","6|7|8|9","8","สิบสองหักออกสี่","คณิตคิดไว","level-1|math",1,1,1,2026-04-06T01:40:00.000Z,2026-04-06T01:40:00.000Z
